CommentID,Date,Comment,Satisfaction Score
1,15/01/2024,Terrible experience with Better Bank. Their customer service is a joke compared to Bank A. I waited for hours just to get information on their home loans. Will definitely be switching to Bank A soon.,2
2,22/01/2024,I'm extremely disappointed with Better Bank's car insurance service. Bank B offers much better coverage at a lower price. I'll be canceling my policy with Better Bank immediately.,3
3,5/02/2024,Had a wonderful experience with Better Bank's credit card application process. The representative was very helpful and guided me through every step. Much better than Insurance Co A's credit card offerings.,9
4,10/02/2024,Better Bank's term deposit rates are unbeatable! I've been a loyal customer for years and their consistent high returns keep me coming back. Definitely recommend to anyone looking for a secure investment option.,8
5,17/02/2024,"Switched my home loan to Better Bank and couldn't be happier. Their rates are much more competitive than Bank B's, and the application process was smooth and hassle-free. Great job!",9
6,25/02/2024,Disappointed with Better Bank's customer service. I had an issue with my credit card and it took them days to resolve it. Bank A provides much quicker assistance. Better Bank needs to improve.,4
7,2/03/2024,"Better Bank's car insurance rates are through the roof! I compared them with Insurance Co A and Bank B, and both offered much lower premiums for the same coverage. Time to shop around.",2
8,8/03/2024,"Applied for a term deposit with Better Bank and was impressed by their efficiency. The process was quick and straightforward, and their rates are competitive compared to Bank B's. Happy customer!",8
9,15/03/2024,"Absolutely thrilled with Better Bank's credit card rewards program! I earn points on every purchase, and their redemption options are fantastic. Much better than Bank A's credit card benefits.",10
10,20/03/2024,"Better Bank's home loan application process was a nightmare! It took weeks to get approval, and their communication was poor throughout. Bank B offers a much smoother experience. Disappointed.",3
11,3/01/2024,"Had an issue with Better Bank's online banking system. It was down for maintenance for hours, which caused inconvenience. Bank A's online platform is much more reliable. Better Bank needs to improve.",4
12,8/01/2024,"Better Bank's car insurance rates are reasonable, but their coverage is lacking compared to Insurance Co A. I'll be switching to get better protection for my vehicle.",5
13,2/02/2024,"Just opened a term deposit with Better Bank, and I'm impressed by their competitive rates. Much better than Bank B's offerings. Looking forward to seeing my investment grow.",7
14,12/02/2024,Better Bank's home loan rates are unbeatable! I shopped around and couldn't find a better deal anywhere else. Their customer service also exceeded my expectations. Highly recommend!,10
15,19/02/2024,Disappointed with Better Bank's credit card services. Their rewards program is subpar compared to Bank A's. Considering switching to get better benefits.,3
16,5/03/2024,Better Bank's term deposit rates are disappointing compared to Bank B's. I expected better returns for locking in my money. Will explore other options next time.,4
17,10/03/2024,Excellent service from Better Bank's car insurance team! They helped me find the perfect coverage for my needs at a competitive price. Much better than Insurance Co A.,9
18,18/03/2024,"Switched to Better Bank for my home loan, and it was the best decision! Their rates are lower than Bank A's, and the process was incredibly smooth. Thank you for the great service!",9
19,11/01/2024,"Better Bank's customer service is atrocious! I've been trying to reach them for days regarding a credit card issue, and no one seems to know what's going on. Bank B is much more responsive.",2
20,19/01/2024,Disappointed with Better Bank's car insurance claims process. It's a hassle compared to Insurance Co A's seamless experience. Seriously considering switching my policy.,3
21,8/02/2024,"Better Bank's term deposit rates are decent, but Bank A offers slightly better returns. Considering moving my savings for better interest rates.",6
22,15/02/2024,Applied for a home loan with Better Bank and was pleasantly surprised by their competitive rates. Much better than Bank B's offerings. Looking forward to becoming a homeowner with Better Bank!,8
23,22/02/2024,"Better Bank's credit card application process was a breeze! Got approved quickly, and their rewards program is fantastic. Far better than Bank A's offerings.",9
24,11/03/2024,Extremely dissatisfied with Better Bank's car insurance rates. They're much higher than Insurance Co A's for the same coverage. Time to switch providers.,2
25,25/03/2024,"Opened a term deposit with Better Bank, and I'm impressed by their rates. Compared to Bank B, they offer better returns on my investment. Happy with my decision.",8
26,7/01/2024,"Better Bank's customer service is top-notch! I had an issue with my credit card, and they resolved it promptly. Much better than Bank A's slow response time.",9
27,14/01/2024,"Switched my car insurance to Better Bank, and I'm thrilled with the savings! Their rates are much lower than Insurance Co A's for the same coverage. Highly recommend!",10
28,1/02/2024,"Just opened a term deposit with Better Bank, and I'm impressed by their competitive rates. Much better than Bank B's offerings. Looking forward to seeing my investment grow.",8
29,9/02/2024,Better Bank's home loan rates are unbeatable! I shopped around and couldn't find a better deal anywhere else. Their customer service also exceeded my expectations. Highly recommend!,10
30,16/02/2024,Disappointed with Better Bank's credit card services. Their rewards program is subpar compared to Bank A's. Considering switching to get better benefits.,3
31,23/02/2024,Better Bank's term deposit rates are disappointing compared to Bank B's. I expected better returns for locking in my money. Will explore other options next time.,4
32,7/03/2024,Excellent service from Better Bank's car insurance team! They helped me find the perfect coverage for my needs at a competitive price. Much better than Insurance Co A.,9
33,14/03/2024,"Switched to Better Bank for my home loan, and it was the best decision! Their rates are lower than Bank A's, and the process was incredibly smooth. Thank you for the great service!",9
34,21/03/2024,"Better Bank's customer service is atrocious! I've been trying to reach them for days regarding a credit card issue, and no one seems to know what's going on. Bank B is much more responsive.",2
35,28/03/2024,Disappointed with Better Bank's car insurance claims process. It's a hassle compared to Insurance Co A's seamless experience. Seriously considering switching my policy.,3
36,2/01/2024,"Thrilled with Better Bank's online banking experience! It's intuitive and user-friendly, unlike Bank A's clunky platform. Keep up the good work!",9
