CommentID,Date,Comment,Satisfaction Score,Summary,Competitor,Products,Classification
1,15/01/2024,Terrible experience with Better Bank. Their customer service is a joke compared to Bank A. I waited for hours just to get information on their home loans. Will definitely be switching to Bank A soon.,2,"Terrible customer service compared to Bank A, long wait times for home loan information.",Bank A,Home Loans,Customer Service
2,22/01/2024,I'm extremely disappointed with Better Bank's car insurance service. Bank B offers much better coverage at a lower price. I'll be canceling my policy with Better Bank immediately.,3,Disappointed with Better Bank's car insurance service,Bank B,Car Insurance,Price
3,5/02/2024,Had a wonderful experience with Better Bank's credit card application process. The representative was very helpful and guided me through every step. Much better than Insurance Co A's credit card offerings.,9,Positive experience with Better Bank's credit card application process,Insurance Co A,Credit Cards,Customer Service
4,10/02/2024,Better Bank's term deposit rates are unbeatable! I've been a loyal customer for years and their consistent high returns keep me coming back. Definitely recommend to anyone looking for a secure investment option.,8,Positive review of Better Bank's term deposit rates and investment options.,N/A,Term Deposits,Rates
5,17/02/2024,"Switched my home loan to Better Bank and couldn't be happier. Their rates are much more competitive than Bank B's, and the application process was smooth and hassle-free. Great job!",9,Positive review of Better Bank's home loan rates and application process.,Bank B,Home Loans,Rates
6,25/02/2024,Disappointed with Better Bank's customer service. I had an issue with my credit card and it took them days to resolve it. Bank A provides much quicker assistance. Better Bank needs to improve.,4,Disappointed with Better Bank's customer service.,Bank A,Credit Cards,Customer Service
7,2/03/2024,"Better Bank's car insurance rates are through the roof! I compared them with Insurance Co A and Bank B, and both offered much lower premiums for the same coverage. Time to shop around.",2,Better Bank's car insurance rates are high compared to Insurance Co A and Bank B.,Insurance Co A,Car Insurance,Premiums
8,8/03/2024,"Applied for a term deposit with Better Bank and was impressed by their efficiency. The process was quick and straightforward, and their rates are competitive compared to Bank B's. Happy customer!",8,Impressed with Better Bank's efficiency and competitive rates for term deposits.,Bank B,Term Deposits,Rates
9,15/03/2024,"Absolutely thrilled with Better Bank's credit card rewards program! I earn points on every purchase, and their redemption options are fantastic. Much better than Bank A's credit card benefits.",10,Positive review of Better Bank's credit card rewards program,Bank A,Credit Cards,Other
10,20/03/2024,"Better Bank's home loan application process was a nightmare! It took weeks to get approval, and their communication was poor throughout. Bank B offers a much smoother experience. Disappointed.",3,Poor home loan application process and communication,Bank B,Home Loans,Customer Service
11,3/01/2024,"Had an issue with Better Bank's online banking system. It was down for maintenance for hours, which caused inconvenience. Bank A's online platform is much more reliable. Better Bank needs to improve.",4,Better Bank's online banking system was down for maintenance causing inconvenience. Bank A's online platform is more reliable.,Bank A,N/A,Online platform
12,8/01/2024,"Better Bank's car insurance rates are reasonable, but their coverage is lacking compared to Insurance Co A. I'll be switching to get better protection for my vehicle.",5,Customer is switching from Better Bank to Insurance Co A for better coverage.,Insurance Co A,Car Insurance,Coverage
13,2/02/2024,"Just opened a term deposit with Better Bank, and I'm impressed by their competitive rates. Much better than Bank B's offerings. Looking forward to seeing my investment grow.",7,Impressed by Better Bank's competitive rates for term deposits.,Bank B,Term Deposits,Rates
14,12/02/2024,Better Bank's home loan rates are unbeatable! I shopped around and couldn't find a better deal anywhere else. Their customer service also exceeded my expectations. Highly recommend!,10,Better Bank offers unbeatable home loan rates and excellent customer service.,N/A,Home Loans,Rates
15,19/02/2024,Disappointed with Better Bank's credit card services. Their rewards program is subpar compared to Bank A's. Considering switching to get better benefits.,3,Disappointed with Better Bank's credit card services. Considering switching to get better benefits.,Bank A,Credit Cards,Other
16,5/03/2024,Better Bank's term deposit rates are disappointing compared to Bank B's. I expected better returns for locking in my money. Will explore other options next time.,4,Disappointed with Better Bank's term deposit rates compared to Bank B. Considering other options for better returns.,Bank B,Term Deposits,Rates
17,10/03/2024,Excellent service from Better Bank's car insurance team! They helped me find the perfect coverage for my needs at a competitive price. Much better than Insurance Co A.,9,Better Bank's car insurance team provided excellent service and competitive prices compared to Insurance Co A.,Insurance Co A,Car Insurance,Price
18,18/03/2024,"Switched to Better Bank for my home loan, and it was the best decision! Their rates are lower than Bank A's, and the process was incredibly smooth. Thank you for the great service!",9,Positive feedback on Better Bank's home loan rates and smooth process.,Bank A,Home Loans,Rates
19,11/01/2024,"Better Bank's customer service is atrocious! I've been trying to reach them for days regarding a credit card issue, and no one seems to know what's going on. Bank B is much more responsive.",2,Poor customer service at Better Bank compared to Bank B.,Bank B,Credit Cards,Customer Service
20,19/01/2024,Disappointed with Better Bank's car insurance claims process. It's a hassle compared to Insurance Co A's seamless experience. Seriously considering switching my policy.,3,Disappointed with Better Bank's car insurance claims process compared to Insurance Co A's seamless experience. Considering switching policy.,Insurance Co A,Car Insurance,Claims Process
21,8/02/2024,"Better Bank's term deposit rates are decent, but Bank A offers slightly better returns. Considering moving my savings for better interest rates.",6,"Better Bank's term deposit rates are decent, but Bank A offers slightly better returns.",Bank A,Term Deposits,Rates
22,15/02/2024,Applied for a home loan with Better Bank and was pleasantly surprised by their competitive rates. Much better than Bank B's offerings. Looking forward to becoming a homeowner with Better Bank!,8,Pleasantly surprised by Better Bank's competitive rates for home loans.,Bank B,Home Loans,Rates
23,22/02/2024,"Better Bank's credit card application process was a breeze! Got approved quickly, and their rewards program is fantastic. Far better than Bank A's offerings.",9,Smooth credit card application process and great rewards program.,Bank A,Credit Cards,Other
24,11/03/2024,Extremely dissatisfied with Better Bank's car insurance rates. They're much higher than Insurance Co A's for the same coverage. Time to switch providers.,2,Customer dissatisfied with Better Bank's car insurance rates,Insurance Co A,Car insurance,Rates
25,25/03/2024,"Opened a term deposit with Better Bank, and I'm impressed by their rates. Compared to Bank B, they offer better returns on my investment. Happy with my decision.",8,Impressed by Better Bank's term deposit rates compared to Bank B,Bank B,Term Deposits,Rates
26,7/01/2024,"Better Bank's customer service is top-notch! I had an issue with my credit card, and they resolved it promptly. Much better than Bank A's slow response time.",9,Positive feedback about Better Bank's customer service and their prompt resolution of credit card issues.,Bank A,Credit Cards,Customer Service
